DatosMinDatos_Sexo,DatosMinDatos_Zona,DatosMinDatos_Departamento,DatosMinDatos_Etario,DatosMinDatos_Grupo,DatosMinDatos_No_carente,DatosMinDatos_Valor,DatosMinDatos_Total,DatosMinDatos_Proporción,DatosMinDatos_Variable,DatosMinDatos_ID,DatosMinDatos_Nombre_dpto
Hombre,Rural,8,Menor,Retornada,0,508,508,1,Sin recogida de basuras,1218,Atlántico
Hombre,Rural,8,Menor,Retornada,508,0,508,0,Hacinamiento,684,Atlántico
Hombre,Rural,8,Menor,Retornada,508,0,508,0,Sin electricidad,5458,Atlántico
Hombre,Rural,8,Menor,Retornada,508,0,508,0,Sin paredes duraderas,6526,Atlántico
Hombre,Rural,8,Menor,Retornada,508,0,508,0,Sin pisos duraderos,5992,Atlántico
Hombre,Rural,8,Menor,Retornada,508,0,508,0,Sin refrigerador,4390,Atlántico
Hombre,Rural,8,Menor,Retornada,508,0,508,0,Sin sanitario,4924,Atlántico
Hombre,Rural,8,Menor,Venezolana,0,5903,5903,1,Sin internet,3857,Atlántico
Hombre,Rural,8,Menor,Venezolana,688,5215,5903,0.883437594865345,Sin alcantarillado,2789,Atlántico
Hombre,Rural,8,Menor,Venezolana,1926,3977,5903,0.673774678542001,Hacinamiento,685,Atlántico
Hombre,Rural,8,Menor,Venezolana,2880,2617,5497,0.476118678838986,Sin suministro continuo de agua,2286,Atlántico
Hombre,Rural,8,Menor,Venezolana,3275,2628,5903,0.445180535528427,Sin refrigerador,4391,Atlántico
Hombre,Rural,8,Menor,Venezolana,3328,2575,5903,0.436247438635674,Sin recogida de basuras,1219,Atlántico
Hombre,Rural,8,Menor,Venezolana,3470,2433,5903,0.412212286959539,Sin espacio exclusivo para la cocina,3323,Atlántico
Hombre,Rural,8,Menor,Venezolana,5003,900,5903,0.152441994923349,Sin combustible adecuado para cocinar,151,Atlántico
Hombre,Rural,8,Menor,Venezolana,5497,406,5903,0.0688029602731038,Sin acueducto,1753,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903,0,5903,0,Sin electricidad,5459,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903,0,5903,0,Sin paredes duraderas,6527,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903,0,5903,0,Sin pisos duraderos,5993,Atlántico
Hombre,Rural,8,Menor,Venezolana,5903,0,5903,0,Sin sanitario,4925,Atlántico
Hombre,Rural,11,Mayor,Colombiana,0,583,583,1,Sin acueducto,1758,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,0,583,583,1,Sin alcantarillado,2794,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,362,222,583,0.380070047888869,Sin empleo,7049,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,514,70,583,0.119929953824992,Sin internet,3862,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,514,70,583,0.119929953824992,Sin refrigerador,4396,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Hacinamiento,690,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Sin combustible adecuado para cocinar,156,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Sin electricidad,5464,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Sin espacio exclusivo para la cocina,3328,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Sin paredes duraderas,6532,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Sin pisos duraderos,5998,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Sin recogida de basuras,1224,"Bogotá, D.C."
Hombre,Rural,11,Mayor,Colombiana,583,0,583,0,Sin sanitario,4930,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,140,140,1,Sin acueducto,1757,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,140,140,1,Sin alcantarillado,2793,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,140,140,1,Sin internet,3861,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,0,140,140,1,Sin refrigerador,4395,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,70,70,140,0.500000007145257,Sin empleo,7048,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Hacinamiento,689,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Sin combustible adecuado para cocinar,155,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Sin electricidad,5463,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Sin espacio exclusivo para la cocina,3327,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Sin paredes duraderas,6531,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Sin pisos duraderos,5997,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Sin recogida de basuras,1223,"Bogotá, D.C."
Hombre,Rural,11,Menor,Colombiana,140,0,140,0,Sin sanitario,4929,"Bogotá, D.C."
Hombre,Rural,13,Mayor,Colombiana,4829,169098,173927,0.972233801134152,Sin internet,3866,Bolívar
Hombre,Rural,13,Mayor,Colombiana,8696,165231,173927,0.950001523625101,Sin alcantarillado,2798,Bolívar
Hombre,Rural,13,Mayor,Colombiana,16597,55179,71776,0.768764030573327,Sin suministro continuo de agua,2292,Bolívar
Hombre,Rural,13,Mayor,Colombiana,21151,152777,173927,0.878394018650321,Sin recogida de basuras,1228,Bolívar
Hombre,Rural,13,Mayor,Colombiana,71776,102151,173927,0.587320104434439,Sin acueducto,1762,Bolívar
Hombre,Rural,13,Mayor,Colombiana,72377,101550,173927,0.583865787602061,Sin combustible adecuado para cocinar,160,Bolívar
Hombre,Rural,13,Mayor,Colombiana,83791,90137,173927,0.518243024528064,Sin espacio exclusivo para la cocina,3332,Bolívar
Hombre,Rural,13,Mayor,Colombiana,85662,88266,173927,0.507485771353893,Sin refrigerador,4400,Bolívar
Hombre,Rural,13,Mayor,Colombiana,104157,69770,173927,0.40114478865595,Sin pisos duraderos,6002,Bolívar
Hombre,Rural,13,Mayor,Colombiana,104292,69636,173927,0.400371419552882,Hacinamiento,694,Bolívar
Hombre,Rural,13,Mayor,Colombiana,119362,54565,173927,0.313722687582685,Sin sanitario,4934,Bolívar
Hombre,Rural,13,Mayor,Colombiana,137796,36131,173927,0.207736163328011,Sin electricidad,5468,Bolívar
Hombre,Rural,13,Mayor,Colombiana,145145,28782,173927,0.165482302088286,Sin paredes duraderas,6536,Bolívar
Hombre,Rural,13,Mayor,Colombiana,157410,2275,159685,0.0142455037959178,Sin empleo,7052,Bolívar
Hombre,Rural,13,Mayor,Retornada,143,1938,2081,0.931353453909161,Sin suministro continuo de agua,2293,Bolívar
Hombre,Rural,13,Mayor,Retornada,143,4976,5119,0.972095023975955,Sin alcantarillado,2799,Bolívar
Hombre,Rural,13,Mayor,Retornada,143,4976,5119,0.972095023975955,Sin internet,3867,Bolívar
Hombre,Rural,13,Mayor,Retornada,281,4838,5119,0.945167566013236,Sin recogida de basuras,1229,Bolívar
Hombre,Rural,13,Mayor,Retornada,1710,3409,5119,0.665926560732412,Sin espacio exclusivo para la cocina,3333,Bolívar
Hombre,Rural,13,Mayor,Retornada,2047,3072,5119,0.60004957915347,Sin combustible adecuado para cocinar,161,Bolívar
Hombre,Rural,13,Mayor,Retornada,2081,3038,5119,0.593498801641777,Sin acueducto,1763,Bolívar
Hombre,Rural,13,Mayor,Retornada,2780,2339,5119,0.456852755188572,Hacinamiento,695,Bolívar
Hombre,Rural,13,Mayor,Retornada,3044,2075,5119,0.405388695288828,Sin refrigerador,4401,Bolívar
Hombre,Rural,13,Mayor,Retornada,3812,1307,5119,0.255374444700784,Sin pisos duraderos,6003,Bolívar
Hombre,Rural,13,Mayor,Retornada,3924,1196,5119,0.233538715009141,Sin electricidad,5469,Bolívar
Hombre,Rural,13,Mayor,Retornada,4099,1020,5119,0.199241192814266,Sin sanitario,4935,Bolívar
Hombre,Rural,13,Mayor,Retornada,4915,0,4915,0,Sin empleo,7053,Bolívar
Hombre,Rural,13,Mayor,Retornada,4937,182,5119,0.0355960603912377,Sin paredes duraderas,6537,Bolívar
Hombre,Rural,13,Mayor,Venezolana,143,2968,3110,0.954073642539792,Sin internet,3868,Bolívar
Hombre,Rural,13,Mayor,Venezolana,273,744,1016,0.731689582845528,Sin suministro continuo de agua,2294,Bolívar
Hombre,Rural,13,Mayor,Venezolana,273,2838,3110,0.912316592125192,Sin alcantarillado,2800,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1016,2094,3110,0.673201303133507,Sin acueducto,1764,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1076,2034,3110,0.654054255647839,Sin refrigerador,4402,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1336,1774,3110,0.570386474315262,Sin recogida de basuras,1230,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1904,1207,3110,0.387928492911889,Hacinamiento,696,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2122,988,3110,0.317688670949787,Sin pisos duraderos,6004,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2140,970,3110,0.311903493787996,Sin espacio exclusivo para la cocina,3334,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2197,913,3110,0.293593384536591,Sin sanitario,4936,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2255,855,3110,0.274908629224566,Sin combustible adecuado para cocinar,162,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2725,385,3110,0.123921901047117,Sin electricidad,5470,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2979,131,3110,0.0422064019182413,Sin paredes duraderas,6538,Bolívar
Hombre,Rural,13,Mayor,Venezolana,3017,0,3017,0,Sin empleo,7054,Bolívar
Hombre,Rural,13,Menor,Colombiana,3731,91862,95593,0.960968304400277,Sin internet,3863,Bolívar
Hombre,Rural,13,Menor,Colombiana,5632,89961,95593,0.941085589040546,Sin alcantarillado,2795,Bolívar
Hombre,Rural,13,Menor,Colombiana,7116,34251,41366,0.827986326011159,Sin suministro continuo de agua,2290,Bolívar
Hombre,Rural,13,Menor,Colombiana,12018,0,12018,0,Sin empleo,7050,Bolívar
Hombre,Rural,13,Menor,Colombiana,13440,82153,95593,0.859404990403071,Sin recogida de basuras,1225,Bolívar
Hombre,Rural,13,Menor,Colombiana,36384,59209,95593,0.61939023201261,Hacinamiento,691,Bolívar
Hombre,Rural,13,Menor,Colombiana,38042,57551,95593,0.602040754414441,Sin combustible adecuado para cocinar,157,Bolívar
Hombre,Rural,13,Menor,Colombiana,41366,54227,95593,0.567268572160244,Sin acueducto,1759,Bolívar
Hombre,Rural,13,Menor,Colombiana,45191,50402,95593,0.527254629728428,Sin espacio exclusivo para la cocina,3329,Bolívar
Hombre,Rural,13,Menor,Colombiana,47886,47707,95593,0.499059764577101,Sin refrigerador,4397,Bolívar
Hombre,Rural,13,Menor,Colombiana,56076,39517,95593,0.413391324978754,Sin pisos duraderos,5999,Bolívar
Hombre,Rural,13,Menor,Colombiana,62397,33197,95593,0.34726917471432,Sin sanitario,4931,Bolívar
Hombre,Rural,13,Menor,Colombiana,77012,18581,95593,0.194377354511435,Sin electricidad,5465,Bolívar
Hombre,Rural,13,Menor,Colombiana,80247,15346,95593,0.160534842061789,Sin paredes duraderas,6533,Bolívar
Hombre,Rural,13,Menor,Retornada,0,81,81,1,Hacinamiento,692,Bolívar
Hombre,Rural,13,Menor,Retornada,0,81,81,1,Sin acueducto,1760,Bolívar
Hombre,Rural,13,Menor,Retornada,0,81,81,1,Sin alcantarillado,2796,Bolívar
Hombre,Rural,13,Menor,Retornada,0,81,81,1,Sin combustible adecuado para cocinar,158,Bolívar
Hombre,Rural,13,Menor,Retornada,0,81,81,1,Sin internet,3864,Bolívar
Hombre,Rural,13,Menor,Retornada,0,81,81,1,Sin recogida de basuras,1226,Bolívar
Hombre,Rural,13,Menor,Retornada,0,81,81,1,Sin sanitario,4932,Bolívar
Hombre,Rural,13,Menor,Retornada,81,0,81,0,Sin electricidad,5466,Bolívar
Hombre,Rural,13,Menor,Retornada,81,0,81,0,Sin espacio exclusivo para la cocina,3330,Bolívar
